,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
0,A-1,2,2019-05-21 08:29:55,2019-05-21 09:29:40,34.808868,-82.26915699999998,34.808868,-82.26915699999998,0.0,Accident on Tanner Rd at Pennbrooke Ln.,439.0,Tanner Rd,R,Greenville,Greenville,SC,29607-6027,US,US/Eastern,KGMU,2019-05-21 08:53:00,76.0,76.0,52.0,28.91,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1,A-2,2,2019-10-07 17:43:09,2019-10-07 19:42:50,35.09008,-80.74556,35.09008,-80.74556,0.0,Accident on Houston Branch Rd at Providence Branch Ln.,3299.0,Providence Branch Ln,R,Charlotte,Mecklenburg,NC,28270-8560,US,US/Eastern,KEQY,2019-10-07 17:53:00,76.0,76.0,62.0,29.3,10.0,VAR,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2,A-3,2,2020-12-13 21:53:00,2020-12-13 22:44:00,37.14573,-121.985052,37.16585,-121.988062,1.4,Stationary traffic on CA-17 from Summit Rd (CA-17) to Idylwild Rd (CA-17) due to accident.,,Santa Cruz Hwy,R,Los Gatos,Santa Clara,CA,95033,US,US/Pacific,KSJC,2020-12-13 21:53:00,51.0,51.0,80.0,30.17,10.0,W,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3,A-4,2,2018-04-17 16:51:23,2018-04-17 17:50:46,39.11039,-119.773781,39.11039,-119.773781,0.0,Accident on US-395 Southbound at Topsy Ln.,,US Highway 395 S,R,Carson City,Douglas,NV,89705,US,US/Pacific,KCXP,2018-04-17 16:55:00,53.6,,16.0,30.16,10.0,SSW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
4,A-5,3,2016-08-31 17:40:49,2016-08-31 18:10:49,26.102942,-80.265091,26.102942,-80.265091,0.0,Accident on I-595 Westbound at Exit 4 / Pine Island Rd.,,I-595 W,R,Fort Lauderdale,Broward,FL,33324,US,US/Eastern,KHWO,2016-08-31 17:53:00,84.2,,84.0,29.92,10.0,SSE,13.8,,Overcast,False,False,False,False,True,False,False,False,False,False,False,True,False,Day,Day,Day,Day
5,A-6,3,2018-10-17 16:40:36,2018-10-17 17:10:18,35.34824000000001,-80.84722099999998,35.34824000000001,-80.84722099999998,0.0,Three lanes blocked due to accident on I-77 Northbound at Exit 18 NC-24 W.T. Harris Blvd.,,W W.T. Harris Blvd,R,Charlotte,Mecklenburg,NC,28269,US,US/Eastern,KJQF,2018-10-17 16:58:00,73.4,,33.0,30.17,10.0,NNW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
6,A-7,4,2019-12-12 09:48:52,2019-12-12 10:18:05,39.52397,-107.777,39.56578,-107.51695,14.153,Closed between CO-13/Taughenbaugh Blvd/Exit 90 and CR-240/Exit 105 - Road closed due to accident.,,I-70 E,R,Rifle,Garfield,CO,81650,US,US/Mountain,KRIL,2019-12-12 09:46:00,28.0,28.0,88.0,24.67,2.0,NE,3.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
7,A-8,2,2019-12-21 23:59:00,2019-12-22 00:32:06,34.034017,-118.026972,34.034017,-118.026972,0.0,At CA-60/Pomona Fwy - Accident.,,CA-60 W,R,Whittier,Los Angeles,CA,90601,US,US/Pacific,KEMT,2019-12-21 23:53:00,55.0,55.0,40.0,29.86,10.0,E,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
8,A-9,2,2018-05-23 16:50:24,2018-05-23 22:50:24,35.86349000000001,-86.83168,35.84948,-86.83253,0.969,At TN-248/Peytonsville Rd/Exit 61 - Accident. Right lane blocked.,425.0, Old Peytonsville Rd,R,Franklin,Williamson,TN,37064-5029,US,US/Central,KBNA,2018-05-23 16:53:00,87.1,,43.0,30.04,10.0,NE,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
9,A-10,2,2019-01-30 08:44:18,2019-01-30 09:14:17,34.42633,-118.5851,34.42022,-118.5819,0.46,At Magic Mountain Pky - Accident. Hard shoulder blocked.,,Golden State Fwy S,R,Valencia,Los Angeles,CA,91355,US,US/Pacific,K3A6,2019-01-30 08:39:00,57.0,57.0,77.0,29.08,5.0,VAR,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
10,A-11,2,2019-12-20 08:20:12,2019-12-20 10:05:05,28.021709,-82.203583,28.021709,-82.203583,0.0,Restrictions due to accident on US-92 at Bethlehem Rd.,4499.0,Bethlehem Rd,L,Dover,Hillsborough,FL,33527-3948,US,US/Eastern,KPCM,2019-12-20 08:50:00,57.0,57.0,88.0,30.05,10.0,NE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
11,A-12,2,2020-12-17 16:38:09,2020-12-17 19:36:53,40.91221,-73.875099,40.916901,-73.87144,0.376,Crash on I-87 - NYS Thruway southbound at After Exit 1 (I-87) - Yonkers - Hall Place starting 8:38 AM 12/17/2020 [CARS CAD-203520172],,I-87 N,R,Yonkers,Westchester,NY,10704,US,US/Eastern,KLGA,2020-12-17 16:51:00,32.0,21.0,61.0,30.0,10.0,NNW,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
12,A-13,2,2018-04-19 12:48:57,2018-04-19 18:48:57,32.86693,-96.66617,32.86156,-96.65769,0.616,At Northwest Hwy/Exit 11 - Accident.,,LBJ Fwy E,R,Garland,Dallas,TX,75041,US,US/Central,KHQZ,2018-04-19 12:50:00,64.4,,32.0,30.37,10.0,NNW,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
13,A-14,2,2017-08-16 17:26:10,2017-08-16 17:55:57,32.265141,-110.90358700000002,32.265141,-110.90358700000002,0.0,Accident on Fort Lowell Rd at Avenida del Clarin.,4198.0,E Fort Lowell Rd,R,Tucson,Pima,AZ,85712-1013,US,US/Mountain,KDMA,2017-08-16 16:58:00,97.7,,16.0,29.8,10.0,West,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
14,A-15,3,2020-05-27 19:45:37,2020-05-27 20:15:37,41.05982,-74.25092,41.02848,-74.25178000000002,2.166,At I-287/W Oakland Ave - Accident.,,Skyline Dr,R,Oakland,Bergen,NJ,07436,US,US/Eastern,KCDW,2020-05-27 19:53:00,72.0,72.0,71.0,30.0,10.0,S,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
15,A-16,2,2019-04-11 16:35:14,2019-04-11 18:59:25,29.723339000000006,-95.497337,29.723339000000006,-95.497337,0.0,Accident on Westpark Dr at 14th St.,6397.0,Westpark Dr,L,Houston,Harris,TX,77057-7203,US,US/Central,KMCJ,2019-04-11 16:53:00,77.0,77.0,71.0,29.6,10.0,SSW,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
16,A-17,2,2016-07-09 14:54:01,2016-07-09 15:54:01,34.103172,-118.249969,34.103172,-118.249969,0.0,Accident on CA-2 Southbound at Exit 13 I-5.,,CA-2 S,R,Los Angeles,Los Angeles,CA,90039,US,US/Pacific,KCQT,2016-07-09 14:47:00,78.1,,60.0,29.99,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
17,A-18,2,2020-11-21 16:32:00,2020-11-21 20:18:30,34.186595000000004,-117.439427,34.185871,-117.439039,0.055,Incident on SIERRA AVE near LYTLE CREEK RD Expect delays.,3738.0, Sierra Ave,R,Fontana,San Bernardino,CA,92336-1108,US,US/Pacific,KONT,2020-11-21 16:53:00,75.0,75.0,26.0,28.98,9.0,WSW,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
18,A-19,2,2020-12-10 13:29:00,2020-12-10 15:26:50,42.501929,-82.918056,42.496109,-82.917286,0.404,Incident on I-94 WB near I-696 Drive with caution.,,I-94 W,R,Saint Clair Shores,Macomb,MI,48081,US,US/Eastern,KDET,2020-12-10 13:53:00,47.0,44.0,66.0,29.38,7.0,S,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
19,A-20,2,2020-04-18 14:41:08,2020-04-18 15:25:50,41.556862,-73.779556,41.556862,-73.779556,0.0,Right hand shoulder blocked due to accident on Taconic State Pkwy Southbound at NY-52.,,Taconic State Pkwy,R,Hopewell Junction,Dutchess,NY,12533,US,US/Eastern,KPOU,2020-04-18 14:53:00,45.0,38.0,63.0,29.59,10.0,N,15.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
20,A-21,3,2020-08-22 16:19:52,2020-08-22 18:05:42,33.918056,-84.33802800000002,33.918056,-84.33802800000002,0.0,Lane blocked due to accident on I-285 Eastbound at Exit 29 Ashford Dunwoody Rd.,,Ashford Dunwoody Rd NE,R,Atlanta,DeKalb,GA,30319,US,US/Eastern,KPDK,2020-08-22 15:53:00,81.0,81.0,67.0,28.93,10.0,SSE,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
21,A-22,2,2018-10-03 12:46:52,2018-10-03 13:16:16,35.596561,-78.759743,35.596561,-78.759743,0.0,Accident on US-401 Main St Northbound at NC-42 NC 55 Hwy.,1655.0,N Main St,L,Fuquay Varina,Wake,NC,27526-9021,US,US/Eastern,KHRJ,2018-10-03 12:55:00,84.6,,53.0,30.1,,SW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
22,A-23,2,2018-02-15 10:59:40,2018-02-15 11:29:21,29.640491,-95.482445,29.640491,-95.482445,0.0,Accident on Chimney Rock Rd at US-90 Alt Main St.,12496.0,Chimney Rock Rd,L,Houston,Harris,TX,77035-5544,US,US/Central,KMCJ,2018-02-15 09:55:00,69.8,,100.0,30.18,4.0,Variable,4.6,,Overcast,False,False,True,False,False,False,True,False,False,False,False,True,False,Day,Day,Day,Day
23,A-24,2,2019-05-17 12:12:20,2019-05-17 13:11:50,37.40691,-79.913933,37.40691,-79.913933,0.0,Left hand shoulder blocked and left lane blocked due to accident on US-220 Northbound at Azalea Rd.,2.0,Azalea Rd,L,Daleville,Botetourt,VA,24083-3527,US,US/Eastern,KROA,2019-05-17 11:54:00,73.0,73.0,66.0,28.68,10.0,W,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
24,A-25,2,2020-06-25 14:48:35,2020-06-25 15:03:35,40.9122,-73.88461,40.9122,-73.88461,0.0,At McLean Ave/Exit 3 - Accident. Left lane blocked.,,Saw Mill River Pkwy S,R,Yonkers,Westchester,NY,10705,US,US/Eastern,KLGA,2020-06-25 14:51:00,88.0,88.0,26.0,29.94,10.0,S,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
25,A-26,3,2018-01-31 07:53:12,2018-01-31 08:37:44,37.994461,-122.069885,37.994461,-122.069885,0.0,Lane blocked due to accident on I-680 Northbound at Exit 53 CA-4.,,I-680 S,R,Martinez,Contra Costa,CA,94553,US,US/Pacific,KCCR,2018-01-31 07:53:00,44.1,42.5,89.0,30.09,10.0,SSE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
26,A-27,3,2017-09-07 20:37:46,2017-09-07 21:07:21,32.87109,-80.010628,32.87109,-80.010628,0.0,Accident on I-26 Eastbound at Exit 213B Montague Ave.,,I-26 E,R,North Charleston,Charleston,SC,29418,US,US/Eastern,KCHS,2017-09-07 20:56:00,72.0,,68.0,30.07,10.0,ESE,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
27,A-28,2,2018-12-21 13:31:29,2018-12-21 14:01:20,30.426109000000004,-97.753906,30.426109000000004,-97.753906,0.0,Accident on Research Blvd Southbound at Pavilion Blvd.,11996.0,Pavilion Blvd,L,Austin,Travis,TX,78759,US,US/Central,KATT,2018-12-21 13:51:00,64.0,,25.0,30.02,10.0,South,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
28,A-29,2,2020-06-15 23:38:00,2020-06-16 00:32:44,33.774159000000004,-118.049783,33.774159000000004,-118.049783,0.0,At CA-22/Garden Grove Fwy - Accident.,,CA-22 E,R,Seal Beach,Orange,CA,90740,US,US/Pacific,KSLI,2020-06-15 21:58:00,66.0,66.0,75.0,29.89,10.0,S,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
29,A-30,2,2019-11-25 07:11:55,2019-11-25 08:42:16,43.22039,-85.500961,43.22039,-85.500961,0.0,Accident on 17 Mile Rd at Stout Ave.,13999.0,Stout Ave NE,L,Cedar Springs,Kent,MI,49319-9555,US,US/Eastern,KGRR,2019-11-25 06:53:00,37.0,32.0,89.0,28.64,8.0,SSW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
30,A-31,2,2020-12-24 03:08:00,2020-12-24 05:23:25,25.684458,-80.445924,25.684452,-80.446072,0.009000000000000001,Incident on SW 88TH ST near SW 157TH AVE Drive with caution.,,SW 88th St,R,Miami,Miami-Dade,FL,33196,US,US/Eastern,KTMB,2020-12-24 02:53:00,,,,29.99,10.0,ESE,10.0,0.0,Mostly Cloudy,True,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
31,A-32,3,2018-11-28 07:47:31,2018-11-28 08:17:21,43.003693,-78.412064,43.003693,-78.412064,0.0,Accident on I-90 Eastbound at Exit 48A.,,I-90 E,R,Corfu,Genesee,NY,14036,US,US/Eastern,KBUF,2018-11-28 07:51:00,30.2,18.9,93.0,29.66,0.8,West,16.1,0.02,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
32,A-33,3,2018-01-25 16:44:30,2018-01-25 17:13:41,39.922646,-86.11689,39.922646,-86.11689,0.0,Very slow traffic and left lane closed due to accident on I-465 Eastbound near Exit 33 Keystone Ave.,,I-465 E,R,Indianapolis,Marion,IN,46240,US,US/Eastern,KEYE,2018-01-25 16:53:00,46.0,40.6,56.0,30.31,10.0,SSE,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
33,A-34,2,2017-10-20 09:23:35,2017-10-20 10:53:09,30.420996,-91.140549,30.420996,-91.140549,0.0,Accident on College Dr at Bennington Ave.,2998.0,College Dr,R,Baton Rouge,East Baton Rouge,LA,70808-3203,US,US/Central,KBTR,2017-10-20 09:53:00,66.9,,81.0,30.17,10.0,ENE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
34,A-35,2,2018-09-25 12:36:04,2018-09-25 13:05:49,35.23932999999999,-80.856415,35.23932999999999,-80.856415,0.0,Accident on Frazier Ave at 5th St.,1417.0,W 5th St,L,Charlotte,Mecklenburg,NC,28216,US,US/Eastern,KCLT,2018-09-25 12:52:00,77.0,,79.0,30.22,8.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
35,A-36,2,2016-07-08 12:38:55,2016-07-08 19:07:48,35.05473,-80.85037,35.05457,-80.85036,0.011,At Ballantyne Commons Pkwy - Accident.,,Johnston Rd,R,Charlotte,Mecklenburg,NC,28277,US,US/Eastern,KEQY,2016-07-08 12:53:00,91.0,,47.0,29.96,10.0,West,10.4,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
36,A-37,3,2019-11-12 04:27:39,2019-11-12 06:57:24,34.037781,-117.320625,,,0.0,Accident on I-215 Southbound at Exit 39 Mt Vernon Ave.,,I-215 S,R,Grand Terrace,San Bernardino,CA,92313,US,US/Pacific,KSBD,2019-11-12 04:20:00,52.0,52.0,56.0,28.81,10.0,ENE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
37,A-38,3,2019-02-28 07:33:04,2019-02-28 08:45:04,37.504467,-77.084549,37.504467,-77.084549,0.0,One lane blocked due to accident on I-64 Westbound at Exit 211 VA-106 Emmaus Church Rd.,,I-64 W,R,Providence Forge,New Kent,VA,23140,US,US/Eastern,KRIC,2019-02-28 07:54:00,44.1,37.7,76.0,30.09,10.0,NNE,12.7,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
38,A-39,2,2020-05-29 13:22:05,2020-05-29 14:07:05,33.38548,-111.9432,33.38548,-111.9432,0.0,At Mill Ave/Exit 173 - Accident. Hard shoulder blocked.,,Superstition Fwy E,R,Tempe,Maricopa,AZ,85282,US,US/Mountain,KPHX,2020-05-29 13:51:00,106.0,106.0,11.0,28.66,10.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
39,A-40,2,2020-12-22 00:44:00,2020-12-22 04:51:36,43.100197,-77.547005,43.099092,-77.546755,0.077,Incident on CLOVER ST near FRENCH RD Expect delays.,388.0, French Rd,R,Pittsford,Monroe,NY,14534-1153,US,US/Eastern,KROC,2020-12-22 00:54:00,34.0,28.0,100.0,29.05,6.0,SW,7.0,0.0,Wintry Mix,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
40,A-41,4,2020-10-26 00:38:00,2020-10-26 02:41:25,40.428002,-79.92677900000002,40.42605800000001,-79.895801,1.635,Incident on I-376 EB near I-376 Road closed. Take alternate route.,,I-376 E,R,Pittsburgh,Allegheny,PA,15217,US,US/Eastern,KAGC,2020-10-26 00:53:00,45.0,43.0,97.0,28.71,10.0,E,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
41,A-42,2,2019-11-13 17:52:00,2019-11-13 19:25:09,38.510303,-121.464525,38.510303,-121.464525,0.0,At 47th Ave - Accident.,6374.0, Martin Luther King Jr Blvd,R,Sacramento,Sacramento,CA,95823,US,US/Pacific,KSAC,2019-11-13 17:53:00,60.0,60.0,67.0,29.92,9.0,SW,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
42,A-43,3,2020-11-13 18:30:59,2020-11-13 19:50:21,42.764778,-73.760338,,,1.84000003338,Entry ramp to I-87 Northbound from Loudon Rd Southbound lane blocked due to accident.,,Adirondack Northway N,R,Latham,Albany,NY,12110,US,US/Eastern,KALB,2020-11-13 18:15:00,37.0,37.0,100.0,29.66,9.0,CALM,0.0,0.0,Shallow Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
43,A-44,2,2016-12-29 07:35:34,2016-12-29 08:05:17,28.698406,-82.451477,28.698406,-82.451477,0.0,Accident on County Hwy-480 Oak Park Blvd at County Hwy-491 Lecanto Hwy.,1101.0,W Oak Park Blvd,R,Homosassa,Citrus,FL,34446-6610,US,US/Eastern,KCGC,2016-12-29 07:35:00,60.8,,94.0,30.1,0.2,Calm,,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
44,A-45,2,2020-01-06 15:37:19,2020-01-06 16:05:57,32.7584,-97.25763,32.75949,-97.24837,0.5429999999999999,At Brentwood Stair Rd/Exit 19 - Accident.,,I-30 E,R,Fort Worth,Tarrant,TX,76103,US,US/Central,KFWD,2020-01-06 15:53:00,63.0,63.0,34.0,29.36,10.0,NW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
45,A-46,2,2019-12-15 13:47:00,2019-12-15 14:40:45,40.619857,-122.365844,40.619857,-122.365844,0.0,At CA-299/Exit 680 - Accident.,,I-5 S,R,Redding,Shasta,CA,96003,US,US/Pacific,KRDD,2019-12-15 13:53:00,52.0,52.0,61.0,29.67,10.0,ESE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
46,A-47,3,2019-03-29 07:43:46,2019-03-29 08:43:11,33.913502,-118.143219,,,0.920000016689,Entry ramp to I-105 Westbound from Lakewood Blvd lane blocked due to accident.,8796.0,Cheyenne St,R,Downey,Los Angeles,CA,90242,US,US/Pacific,KLGB,2019-03-29 07:53:00,55.0,,74.0,30.19,7.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
47,A-48,2,2018-06-05 07:43:07,2018-06-05 08:42:43,44.852409,-93.247139,,,1.09000003338,Accident on MN-77 Southbound between I-494 and Killebrew Dr.,,MN-77 N,R,Minneapolis,Hennepin,MN,55425,US,US/Central,KMSP,2018-06-05 07:53:00,63.0,,58.0,29.86,10.0,East,13.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
48,A-49,2,2018-01-03 18:55:12,2018-01-03 19:24:55,29.690945000000006,-95.417068,29.690945000000006,-95.417068,0.0,Accident on Main St at US-90 Alt Old Spanish Trl.,,Main St,R,Houston,Harris,TX,77054,US,US/Central,KMCJ,2018-01-03 13:55:00,42.8,38.6,27.0,30.35,10.0,Variable,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
49,A-50,2,2020-11-03 21:28:00,2020-11-03 23:29:31,34.03542,-118.274465,34.031220000000005,-118.274582,0.29,Incident on I-110 SB near I-10 Drive with caution.,,Harbor Fwy S,R,Los Angeles,Los Angeles,CA,90007,US,US/Pacific,KCQT,2020-11-03 21:52:00,62.0,62.0,84.0,29.83,4.0,CALM,0.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
